performance_id,student_id,subject,assessment_type,assessment_date,marks_obtained,total_marks,percentage,grade_letter
1,1000,Mathematics,Quiz,2025-08-10,64,100,64,D
2,1001,Mathematics,Project,2025-08-10,60,100,60,D
3,1002,Mathematics,Project,2025-08-10,72,100,72,C
4,1003,Mathematics,Assignment,2025-08-10,64,100,64,D
5,1004,Mathematics,Assignment,2025-08-10,66,100,66,D
6,1006,Mathematics,Project,2025-08-10,72,100,72,C
7,1007,Mathematics,Assignment,2025-08-10,67,100,67,D
8,1008,Mathematics,Test,2025-08-10,65,100,65,D
9,1009,Mathematics,Test,2025-08-10,83,100,83,B
10,1010,Mathematics,Quiz,2025-08-10,70,100,70,C
11,1011,Mathematics,Test,2025-08-10,79,100,79,C
12,1012,Mathematics,Quiz,2025-08-10,80,100,80,B
13,1015,Mathematics,Project,2025-08-10,55,100,55,D
14,1016,Mathematics,Test,2025-08-10,91,100,91,A
15,1017,Mathematics,Test,2025-08-10,67,100,67,D
16,1018,Mathematics,Assignment,2025-08-10,89,100,89,B
17,1019,Mathematics,Assignment,2025-08-10,79,100,79,C
18,1020,Mathematics,Test,2025-08-10,68,100,68,D
19,1021,Mathematics,Assignment,2025-08-10,81,100,81,B
20,1022,Mathematics,Quiz,2025-08-10,81,100,81,B
21,1023,Mathematics,Project,2025-08-10,68,100,68,D
22,1024,Mathematics,Project,2025-08-10,82,100,82,B
23,1025,Mathematics,Quiz,2025-08-10,83,100,83,B
24,1026,Mathematics,Project,2025-08-10,80,100,80,B
25,1027,Mathematics,Test,2025-08-10,69,100,69,D
26,1029,Mathematics,Assignment,2025-08-10,64,100,64,D
27,1000,Mathematics,Quiz,2025-08-15,73,100,73,C
28,1001,Mathematics,Project,2025-08-15,82,100,82,B
29,1002,Mathematics,Project,2025-08-15,87,100,87,B
30,1003,Mathematics,Assignment,2025-08-15,83,100,83,B
31,1004,Mathematics,Quiz,2025-08-15,74,100,74,C
32,1005,Mathematics,Assignment,2025-08-15,75,100,75,C
33,1006,Mathematics,Test,2025-08-15,87,100,87,B
34,1007,Mathematics,Project,2025-08-15,67,100,67,D
35,1008,Mathematics,Test,2025-08-15,72,100,72,C
36,1009,Mathematics,Test,2025-08-15,79,100,79,C
37,1010,Mathematics,Quiz,2025-08-15,61,100,61,D
38,1011,Mathematics,Quiz,2025-08-15,86,100,86,B
39,1012,Mathematics,Assignment,2025-08-15,71,100,71,C
40,1013,Mathematics,Quiz,2025-08-15,76,100,76,C
41,1014,Mathematics,Project,2025-08-15,64,100,64,D
42,1016,Mathematics,Test,2025-08-15,61,100,61,D
43,1017,Mathematics,Test,2025-08-15,63,100,63,D
44,1018,Mathematics,Test,2025-08-15,71,100,71,C
45,1019,Mathematics,Project,2025-08-15,64,100,64,D
46,1020,Mathematics,Project,2025-08-15,63,100,63,D
47,1022,Mathematics,Project,2025-08-15,67,100,67,D
48,1023,Mathematics,Test,2025-08-15,68,100,68,D
49,1024,Mathematics,Test,2025-08-15,56,100,56,D
50,1025,Mathematics,Quiz,2025-08-15,67,100,67,D
51,1026,Mathematics,Test,2025-08-15,65,100,65,D
52,1027,Mathematics,Test,2025-08-15,89,100,89,B
53,1028,Mathematics,Project,2025-08-15,66,100,66,D
54,1029,Mathematics,Quiz,2025-08-15,77,100,77,C
55,1000,Science,Project,2025-08-17,69,100,69,D
56,1001,Science,Project,2025-08-17,64,100,64,D
57,1003,Science,Assignment,2025-08-17,88,100,88,B
58,1004,Science,Project,2025-08-17,71,100,71,C
59,1005,Science,Assignment,2025-08-17,85,100,85,B
60,1006,Science,Assignment,2025-08-17,90,100,90,A
61,1007,Science,Test,2025-08-17,80,100,80,B
62,1008,Science,Quiz,2025-08-17,73,100,73,C
63,1009,Science,Assignment,2025-08-17,55,100,55,D
64,1010,Science,Assignment,2025-08-17,58,100,58,D
65,1011,Science,Assignment,2025-08-17,71,100,71,C
66,1012,Science,Test,2025-08-17,86,100,86,B
67,1014,Science,Assignment,2025-08-17,80,100,80,B
68,1015,Science,Assignment,2025-08-17,64,100,64,D
69,1016,Science,Assignment,2025-08-17,70,100,70,C
70,1017,Science,Project,2025-08-17,66,100,66,D
71,1018,Science,Assignment,2025-08-17,91,100,91,A
72,1019,Science,Test,2025-08-17,85,100,85,B
73,1020,Science,Project,2025-08-17,66,100,66,D
74,1021,Science,Test,2025-08-17,90,100,90,A
75,1022,Science,Test,2025-08-17,85,100,85,B
76,1023,Science,Test,2025-08-17,69,100,69,D
77,1026,Science,Quiz,2025-08-17,70,100,70,C
78,1027,Science,Test,2025-08-17,76,100,76,C
79,1028,Science,Project,2025-08-17,69,100,69,D
80,1029,Science,Assignment,2025-08-17,58,100,58,D
81,1000,Science,Project,2025-08-31,57,100,57,D
82,1002,Science,Quiz,2025-08-31,60,100,60,D
83,1004,Science,Project,2025-08-31,64,100,64,D
84,1005,Science,Test,2025-08-31,66,100,66,D
85,1006,Science,Project,2025-08-31,66,100,66,D
86,1007,Science,Assignment,2025-08-31,81,100,81,B
87,1008,Science,Test,2025-08-31,88,100,88,B
88,1009,Science,Project,2025-08-31,68,100,68,D
89,1010,Science,Test,2025-08-31,80,100,80,B
90,1011,Science,Test,2025-08-31,68,100,68,D
91,1012,Science,Project,2025-08-31,84,100,84,B
92,1013,Science,Project,2025-08-31,68,100,68,D
93,1014,Science,Test,2025-08-31,73,100,73,C
94,1015,Science,Project,2025-08-31,81,100,81,B
95,1016,Science,Quiz,2025-08-31,63,100,63,D
96,1017,Science,Project,2025-08-31,59,100,59,D
97,1018,Science,Project,2025-08-31,87,100,87,B
98,1019,Science,Test,2025-08-31,60,100,60,D
99,1020,Science,Test,2025-08-31,83,100,83,B
100,1021,Science,Quiz,2025-08-31,71,100,71,C
101,1022,Science,Assignment,2025-08-31,58,100,58,D
102,1023,Science,Assignment,2025-08-31,63,100,63,D
103,1024,Science,Project,2025-08-31,73,100,73,C
104,1025,Science,Project,2025-08-31,88,100,88,B
105,1026,Science,Test,2025-08-31,80,100,80,B
106,1027,Science,Project,2025-08-31,63,100,63,D
107,1028,Science,Assignment,2025-08-31,79,100,79,C
108,1029,Science,Assignment,2025-08-31,59,100,59,D
109,1000,Science,Assignment,2025-08-17,63,100,63,D
110,1001,Science,Test,2025-08-17,55,100,55,D
111,1002,Science,Project,2025-08-17,66,100,66,D
112,1003,Science,Quiz,2025-08-17,74,100,74,C
113,1004,Science,Project,2025-08-17,58,100,58,D
114,1005,Science,Test,2025-08-17,81,100,81,B
115,1006,Science,Test,2025-08-17,61,100,61,D
116,1007,Science,Assignment,2025-08-17,83,100,83,B
117,1008,Science,Quiz,2025-08-17,87,100,87,B
118,1009,Science,Quiz,2025-08-17,70,100,70,C
119,1010,Science,Project,2025-08-17,79,100,79,C
120,1011,Science,Test,2025-08-17,71,100,71,C
121,1012,Science,Test,2025-08-17,73,100,73,C
122,1013,Science,Test,2025-08-17,75,100,75,C
123,1015,Science,Project,2025-08-17,80,100,80,B
124,1016,Science,Test,2025-08-17,72,100,72,C
125,1018,Science,Test,2025-08-17,76,100,76,C
126,1019,Science,Test,2025-08-17,60,100,60,D
127,1020,Science,Test,2025-08-17,76,100,76,C
128,1021,Science,Test,2025-08-17,76,100,76,C
129,1022,Science,Quiz,2025-08-17,60,100,60,D
130,1023,Science,Test,2025-08-17,84,100,84,B
131,1024,Science,Project,2025-08-17,56,100,56,D
